user_id,password,access_level,billing_group,first_name,last_name
xjoe.bloggs2,password,Adviser,__default__,Joe,Bloggs2b
xjoe.bloggs3,password,Adviser,__default__,Joe,Bloogs3b
xjoe.bloggs4,password,Adviser,__default__,Joe4,Bloggs3c
xjoe.bloggs5,password,Adviser,__default__,Joe5,Bloggs4d
xjoe.bloggs6,password,Adviser,__default__,Joe2,Bloggs78
xjoe.bloggs7,password,Adviser,__default__,Joe9,Bloggs43
xjoe.bloggs8makemenewagain223,password,Adviser,__default__,Joe10,Bloggs1
xjoe.bloggs9,password,Adviser,__default__,,
xjoe.bloggs10,password,Adviser,__default__,,
xjoe.bloggs11,password,Adviser,__default__,,
xjoe.bloggs111,password,Adviser,__default__,,
xjoe.bloggs26dsdf,newpass,Adviser,__default__,Johnny,Bloggo
xjoe.bloggs27sddd,newpass,Adviser,__default__,Johnny,Bloggo
